,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8162027237398347,-0.7262875589027735
1,-0.7465686503779305,-0.6897847708264822
2,-0.8921538740896522,-0.7742716613435155
3,-0.766460270726026,-0.6888248326953834
4,-0.7903463059829646,-0.7064849826924992
5,-0.8647958440997556,-0.7721869233047244
6,-0.7763374226753583,-0.7030659708034055
7,-0.8045998055579626,-0.6675772205870584
8,-0.8142487533135602,-0.7629672589085428
9,-0.7752133294711457,-0.6904319088191194
10,-0.7391931284804327,-0.6649896944719764
