,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
50,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
51,n,p,n,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p
52,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p
53,p,p,n,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p
54,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p
55,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,n,p,n,p,p,p
56,n,n,p,n,p,n,p,p,n,p,p,p,p,p,p,p,p,p,n,n,p,p,p,p,n,n,p,p,p,p
57,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p
58,p,p,p,p,p,n,p,n,p,p,n,p,n,p,p,n,n,p,p,p,p,p,n,n,p,p,p,p,p,p
59,p,n,p,p,p,n,p,p,p,p,p,n,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,n,p
60,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,n,p,p,p,p,p,n,p,p,p,p,p,p,p
61,n,p,p,n,p,p,p,p,n,n,n,p,p,p,p,p,n,p,n,n,p,n,p,p,p,p,n,n,p,p
62,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
63,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,n,n,p,p,p,p,n,n,p,p
64,p,p,p,n,n,p,p,p,n,p,p,n,p,p,p,p,p,n,p,p,p,p,n,n,p,p,p,p,p,n
65,p,n,n,p,n,p,p,p,p,n,n,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
66,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
67,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p
68,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p
69,p,p,n,p,n,n,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n
70,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,n,p,p,p,p,n,n,p,p,p,n,p,p
71,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,n,p,p,p,p,n,p,p
72,p,p,p,p,p,n,p,n,p,p,p,n,p,p,p,n,p,n,p,n,p,p,p,p,p,p,p,p,p,n
73,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p
74,n,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n
75,n,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,n,p,p,p,p
76,n,n,p,p,n,n,p,p,p,p,n,n,n,p,n,n,p,p,p,p,n,p,p,n,n,n,p,p,p,p
77,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p
78,n,p,p,p,p,p,p,n,p,n,n,p,n,n,n,n,p,n,p,n,p,p,p,p,p,n,n,p,p,p
79,p,p,n,p,p,p,p,p,p,p,p,p,p,n,n,p,p,n,n,p,p,p,n,p,p,p,p,p,n,p
80,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,n,p,p,p,p,p,p,p,p,n,n,p,p,p,p
81,p,n,n,p,p,n,p,p,n,p,n,n,p,p,p,p,p,n,p,p,n,p,p,n,p,n,p,p,n,n
82,n,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,n,p,p,n,p,p,p,p,p,n,n,p,p
83,n,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p
84,p,p,p,p,n,p,p,p,n,n,p,n,p,p,n,p,p,p,p,n,p,n,p,p,p,p,n,p,p,n
