,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
16,l,l,l,r,l,r,r,r,l,r,r,l,r,l,r,r,r,r,r,l,r,l,l,r,l,l,r,l,r,l,l,l,l,r,l,l,r,r,r,l,l,r,r,r,l,l,r,l,r,r,r,l,r,l,l,r,l,r,l,r,r,r,,,,,,,,,,,,,,,,,,,,,,,
17,r,r,r,l,r,l,l,r,r,r,r,r,l,r,r,r,l,r,l,r,r,r,r,l,r,r,r,l,r,r,r,r,r,r,r,r,r,r,l,r,r,l,r,l,r,r,l,r,r,l,r,r,r,r,r,r,r,l,r,l,r,r,,,,,,,,,,,,,,,,,,,,,,,
18,l,r,l,l,r,r,r,l,r,l,r,r,r,l,l,l,l,l,r,l,l,r,l,l,l,l,r,l,r,l,r,l,l,l,r,r,l,r,r,l,r,r,l,l,r,l,r,l,l,r,l,l,r,r,l,r,l,l,r,r,l,l,,,,,,,,,,,,,,,,,,,,,,,
19,r,l,r,r,r,r,r,r,l,r,r,l,r,r,r,r,r,r,r,l,l,r,l,r,l,r,r,l,r,r,r,l,r,r,l,l,r,r,r,r,r,r,r,l,l,r,r,r,l,l,l,r,r,r,r,r,r,r,r,r,r,r,l,,,,,,,,,,,,,,,,,,,,,,
20,l,l,r,l,l,l,r,r,r,r,l,r,r,r,r,r,l,r,r,r,l,l,l,l,l,r,r,r,r,r,r,l,l,r,r,r,r,r,r,r,r,r,l,l,r,l,l,r,r,r,r,r,l,r,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,l,r,l,r,r,r,r,l,l,r,l,l,l,r,r,r,r,r,r,l,r,l,l,l,r,r,l,l,r,r,l,l,r,r,l,r,r,l,l,r,r,r,r,l,l,l,l,r,r,r,r,l,r,r,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,l,r,r,r,l,r,l,r,r,l,r,r,r,l,r,r,r,r,r,r,r,r,r,l,r,r,r,r,r,r,r,r,r,r,r,l,r,l,r,l,r,l,l,r,r,r,r,r,r,l,r,r,r,l,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,r,l,r,l,l,l,l,r,r,r,l,r,r,r,r,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,l,l,l,l,l,l,r,r,r,r,r,r,r,l,r,r,r,r,r,r,r,l,l,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,r,l,r,l,l,l,l,l,l,l,l,r,l,r,r,l,l,r,l,l,l,l,l,r,l,r,l,l,l,l,r,l,l,l,r,l,l,r,l,l,l,l,r,l,l,l,r,l,r,l,r,l,l,r,r,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,l,r,r,r,r,r,l,r,r,r,l,r,r,l,l,r,r,r,l,r,r,r,r,r,l,r,l,r,r,r,r,r,r,r,r,l,r,r,l,r,r,r,l,r,r,r,r,r,l,l,l,r,l,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,r,r,l,r,l,r,r,r,r,l,r,r,r,r,r,r,r,r,l,r,r,l,r,r,l,r,l,l,r,r,l,l,r,r,l,r,l,l,r,l,l,r,r,l,l,r,r,r,l,r,r,r,l,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,r,r,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,r,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,l,l,l,r,l,l,l,r,l,r,r,r,l,r,r,r,l,r,l,r,l,l,r,l,l,r,r,l,r,r,r,r,l,r,r,l,l,r,r,r,l,l,l,r,l,l,r,r,r,l,l,r,l,r,l,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,r,r,r,l,l,l,r,r,l,l,l,r,l,r,r,r,l,r,r,l,r,r,r,l,r,l,l,l,l,r,r,r,l,l,r,l,l,r,r,r,l,r,r,l,l,r,r,r,r,r,l,r,r,r,r,r,r,l,r,l,l,l,l,l,r,l,r,r,r,r,r,r,l,l,l,l,r,r,r,r,l,,,,
30,r,l,l,l,l,r,l,l,l,r,r,l,r,l,l,l,l,r,l,l,l,l,r,l,l,r,r,l,l,l,r,l,l,l,l,r,r,l,l,l,r,r,l,r,l,l,r,r,l,l,l,l,r,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,r,l,l,l,r,,,,
31,l,l,r,l,l,r,l,r,l,l,r,l,l,l,r,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,l,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,r,r,l,l,l,l,r,r,l,l,l,l,l,l,r,l,l,r,r,l,l,l,r,,,,
32,r,r,r,l,l,l,r,l,l,r,l,l,r,l,l,l,l,l,r,l,l,l,l,r,r,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,l,r,l,r,l,r,l,r,r,l,l,l,l,r,l,l,l,r,l,r,l,l,l,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,l,r,,,,
