,mock hard classifier
237,4.68125514865575
238,2.9600274134166376
239,4.363737047319952
240,4.3041042830539915
241,4.215217300235976
242,4.391835489193112
243,4.5525574293085915
244,4.226630461985095
245,4.769580954724075
246,4.345380023746402
247,4.742953363435145
248,4.055388199670569
249,4.1704928598814615
250,4.2701465104671295
251,4.217839777922448
252,4.379820876674487
253,4.212101850454096
254,2.999999999999989
255,4.006301073307667
256,4.395291662337411
257,4.069373762539188
258,4.275760496348548
259,3.616147699091399
260,4.253646924782801
261,4.1113268049336
262,4.026011823792703
263,4.218984137450705
264,4.331634140021754
265,4.589959309432948
266,4.249882614227075
267,4.225739397874119
268,4.28244193940036
269,4.4929855859873875
270,4.410920553976691
271,4.533290602967154
272,4.4921994354333865
273,4.486816739017857
274,2.9903717571543167
275,4.422981558748161
276,4.256339656510031
277,4.616297860870957
278,2.9114155679632168
279,4.503035296140848
280,4.35626992399909
281,4.452858183525407
282,4.513108614232208
283,4.012400853580918
284,4.049161714745144
285,4.1039285491497175
286,4.1430677750067995
287,4.085005397193472
288,4.564610903572697
289,2.9981347150259126
290,4.335287670649832
291,2.9300423131170636
292,4.143054951639055
293,4.392787602929906
294,4.611890961379281
295,4.14816367970338
296,4.438831954991844
297,4.671967341399827
298,2.971632111938156
299,4.109776435861975
300,4.24618267539119
301,2.97875112759347
302,4.404075679230058
303,2.9847409985276485
304,4.328150587725386
305,4.265787347201778
306,2.997413835977532
307,4.159701916598341
308,4.09595136219977
309,4.136715711090222
310,4.996943407732997
311,4.803740534569074
312,2.9182400262682653
313,4.017653620863798
314,4.072078690096172
315,4.370175203980037
316,4.751147703183826
317,4.840261792702833
318,4.120803323696569
319,4.349093127688859
320,4.242183948684268
321,4.5350139620062215
322,4.539660572937489
323,4.279020952971687
324,4.434340573127439
325,4.444586701641666
326,4.087785883280752
327,4.807372660201669
328,4.433785246705426
329,4.36625584047063
330,4.311312548995003
331,4.342450058226273
332,4.774481489428372
333,4.0282726002537395
334,2.9573122529644382
335,2.958083640442235
336,4.448417821781415
337,4.694971644319046
338,4.173289312977094
339,4.622800901420753
340,2.9601667584362445
341,4.086420804718631
342,2.984031441966984
343,2.9372967951695377
344,4.72932083185658
345,4.508560829606849
346,4.672698379868457
347,4.1319651343891755
348,4.32843329785969
349,4.604840838336202
350,4.846810725825754
351,4.362973930163434
352,2.857794341195523
353,4.031961869626133
354,4.507382938708592
355,4.2830240276253635
356,4.336384989321285
357,4.120535358248843
358,4.244144457900534
359,2.9455072463768155
360,4.4589371943093505
361,4.3461062803858415
362,4.204539193131338
363,4.531155676265798
364,4.340777005448688
365,4.361572404059695
366,4.061213497450711
367,4.112660414463494
368,4.841523779455976
369,4.786757624545413
370,4.3007211576508855
371,4.3518463547962964
372,4.927786664245619
373,2.9231216111541536
374,4.5566627376322835
375,2.922026124239706
376,2.9364255797962193
377,4.261907421951419
378,4.160488785237558
379,4.377429684050581
380,4.519421731449753
381,4.504748685939559
382,4.389780488101467
383,4.35446286421305
384,4.353572329435386
385,4.272748288227657
386,4.684851917704687
387,3.908631578947348
388,4.166610711185045
389,4.617386217741753
390,4.3813643097241926
391,2.9642296830875474
392,4.204049936042738
393,4.251839444015143
394,4.264060470008525
395,4.2195170369950095
396,4.216562104344203
397,4.300663740498873
398,4.2286202411657055
399,4.42697750478622
400,4.2360153204888125
401,4.090298152052185
402,4.772237684762341
403,4.394070011244962
404,2.8481795178714817
405,4.33015893658773
406,2.9035700673357963
407,4.19156787580317
408,4.065712409030902
409,4.129909874753928
410,4.104097220304959
411,4.040304101844622
412,4.3206572908592955
413,2.9984988272087616
414,4.1797791348767195
415,4.444115031497274
416,2.934942678721227
417,4.506929949682561
418,4.468587589025271
419,4.187735664774449
420,4.322071739066147
421,4.818556286609685
422,4.108933551814306
423,4.010378091513337
424,4.038590749984458
425,4.178483748178856
426,4.421592337092036
427,4.41169740266971
428,4.6106077535350725
429,4.8589300395693975
430,4.171570096268561
431,4.764879423132332
432,4.069642297102544
433,4.4803708417731825
434,4.080895102972001
435,4.042778019441227
436,4.289907179685346
437,4.356597293960132
438,4.599140582345805
439,4.071339978582303
440,4.119165041009546
441,4.997226687068054
442,4.200261765727279
443,4.211090883217434
444,4.219274379875401
445,4.367513209322519
446,4.093737036338663
447,2.9580789385125783
448,4.228164014539112
449,4.013538561798225
450,4.65632742781064
451,4.6641368991065555
452,4.098406401019398
453,4.3159315538101115
454,4.300339544078339
455,4.424213689168035
456,4.776958032252946
457,4.23638427276741
458,4.336214490580272
459,4.131476066050862
460,4.3002328448157705
461,4.181990437438612
462,4.590309426319543
463,4.754548240764691
464,4.502598832664848
465,6.142861619944486
466,4.740123583976104
467,2.9002246349681866
468,4.587247201777744
469,4.402163268342596
470,4.034096918401167
471,4.202421508684636
472,4.077915552010406
473,4.881947374945689
474,4.218045632205593
475,3.627287853577567
476,4.568632940579321
477,4.772228922880969
478,4.415955863242207
479,4.293088513936719
480,4.177357119171444
481,4.224683783683747
482,4.18697672134753
483,4.009076099412857
484,4.6130422827324145
485,2.9048747677919424
486,4.251521918427381
487,4.236397026713785
488,4.000947878100195
489,4.142463932095031
490,4.334472842472153
491,4.188410437009763
492,4.28577229870436
493,4.199974507207884
494,4.136467529793291
495,4.391725144224265
496,4.523421588594705
497,4.1585045659663615
498,2.9859478195700064
499,4.490699417832793
500,4.163723947360692
