,mock hard classifier
0,0.7441999999999999
1,0.741
2,0.7427
3,0.7423
4,0.7462000000000002
5,0.7493000000000001
6,0.7479
7,0.7351
8,0.7513
9,0.7429
10,0.7441000000000001
11,0.7360999999999999
12,0.7495
13,0.7427
14,0.7383
15,0.7487
16,0.7388000000000001
17,0.7492
18,0.7414
19,0.7538
20,0.7535999999999999
21,0.7453000000000001
22,0.7457
23,0.7428
24,0.7346999999999999
25,0.7422000000000001
26,0.7456
27,0.7383000000000001
28,0.7483000000000001
29,0.7505
30,0.7547
31,0.7475
32,0.7335
33,0.7448
34,0.7355000000000002
35,0.7404
36,0.744
37,0.7369
38,0.7494999999999999
39,0.747
40,0.7454000000000001
41,0.7327999999999999
42,0.7443
43,0.7404
44,0.7432
45,0.7476999999999999
46,0.7438999999999999
47,0.7372
48,0.7439000000000001
49,0.753
50,0.7426000000000001
51,0.7493000000000001
52,0.7512
53,0.7486999999999999
54,0.7483
55,0.7456
56,0.7396999999999999
57,0.7354
58,0.7410000000000001
59,0.7457999999999999
60,0.7457999999999999
61,0.7483000000000001
62,0.7495
63,0.7487
64,0.739
65,0.7553000000000001
66,0.7390000000000001
67,0.7412
68,0.7478
69,0.7384999999999999
70,0.7417999999999999
71,0.74
72,0.7431999999999999
73,0.7374
74,0.7550999999999999
75,0.7414
76,0.7487
77,0.7381
78,0.7417
79,0.7453000000000001
80,0.7451
81,0.74
82,0.7383000000000001
83,0.7451
84,0.7445999999999999
85,0.7349
86,0.7404
87,0.7456
88,0.7438
89,0.7497999999999999
90,0.7394999999999999
91,0.7467999999999999
92,0.7427
93,0.7414
94,0.7407
95,0.7296999999999999
96,0.7501999999999999
97,0.7485999999999999
98,0.7458
99,0.746
100,0.7520999999999999
101,0.7451
102,0.75
103,0.7442
104,0.7426
105,0.7330999999999999
106,0.7346999999999999
107,0.7389999999999999
108,0.7571
109,0.7409
110,0.7443
111,0.7591
112,0.7414999999999999
113,0.7492000000000001
114,0.7487
115,0.7407
116,0.747
117,0.7449
118,0.7454000000000001
119,0.7476999999999999
120,0.7385
121,0.7463
122,0.7535000000000002
123,0.7455
124,0.7511000000000001
125,0.7437000000000001
126,0.7563000000000001
127,0.7439
128,0.7374
129,0.7362
130,0.7372000000000001
131,0.7424000000000001
132,0.7474
133,0.7417999999999999
134,0.732
135,0.7373
136,0.7392
137,0.7433000000000001
138,0.7445
139,0.7514000000000001
140,0.7440999999999999
141,0.7438999999999999
142,0.7504
143,0.7394000000000001
144,0.7403000000000001
145,0.7348999999999999
146,0.7432000000000001
147,0.7575000000000001
148,0.7326
149,0.7426
150,0.744
151,0.7408000000000001
152,0.7232999999999998
153,0.7401
154,0.7331999999999999
155,0.7550000000000001
156,0.7353
157,0.7422000000000001
158,0.7436
159,0.7421
160,0.7475
161,0.7468999999999999
162,0.7496999999999999
163,0.7472
164,0.7491
165,0.7475
166,0.7415999999999999
167,0.7345999999999999
168,0.74
169,0.7472
170,0.7507999999999999
171,0.7464999999999999
172,0.7367999999999999
173,0.7388
174,0.747
175,0.7383
176,0.7331999999999999
177,0.7397
178,0.7423
179,0.7477
180,0.7378
181,0.7422
182,0.7449
183,0.7571
184,0.7411
185,0.7554000000000001
186,0.7287000000000001
187,0.7302
188,0.7389
189,0.7445999999999999
190,0.7289999999999999
191,0.7282
192,0.7505
193,0.7504
194,0.7448999999999999
195,0.7365000000000002
196,0.7452
197,0.7384000000000001
198,0.7414
199,0.7413
200,0.7310000000000001
201,0.7590000000000001
202,0.7567999999999999
203,0.7461
204,0.736
205,0.7345999999999999
206,0.7471
207,0.7426999999999999
208,0.752
209,0.7345
210,0.7464
211,0.7267
212,0.7459
213,0.7467999999999999
214,0.7449000000000001
215,0.7297999999999999
216,0.7531
217,0.7211000000000001
218,0.736
219,0.7333000000000001
220,0.7523
221,0.741
222,0.7395
223,0.7436
224,0.7447
225,0.751
226,0.7414000000000001
227,0.7554
228,0.7428999999999999
229,0.7571999999999999
230,0.7527
231,0.742
232,0.7468
233,0.7449
234,0.7444000000000001
235,0.7470999999999999
236,0.7489
237,0.751
238,0.7353
239,0.7466999999999999
240,0.7415999999999999
241,0.7412999999999998
242,0.7449999999999999
243,0.7348000000000001
244,0.7314999999999999
245,0.7514000000000001
246,0.735
247,0.7513
248,0.732
249,0.7391000000000001
250,0.7426
251,0.7412
252,0.7463999999999998
253,0.7442
254,0.7449999999999999
255,0.7316999999999999
256,0.7319
257,0.7288000000000001
258,0.7466
259,0.7306000000000001
260,0.7459999999999999
261,0.7498999999999999
262,0.7384
263,0.7427000000000001
264,0.7424999999999999
265,0.7394999999999999
266,0.7431
267,0.7545
268,0.7417000000000001
269,0.7455
270,0.7638
271,0.7375
272,0.7426999999999999
273,0.748
274,0.7414
275,0.7439
276,0.7318999999999999
277,0.7525000000000001
278,0.7386999999999999
279,0.7487
280,0.7468999999999999
281,0.7474999999999999
282,0.7556
283,0.7354
284,0.7346
285,0.7421
286,0.7495999999999999
287,0.7388
288,0.7511000000000001
289,0.7293000000000001
290,0.7483
291,0.7454
292,0.7331
293,0.7447999999999999
294,0.7444999999999999
295,0.7408
296,0.7471
297,0.7502000000000001
298,0.7502
299,0.7384999999999999
300,0.7338
301,0.7394000000000001
302,0.7510999999999999
303,0.7415
304,0.7484
305,0.7482
306,0.7332000000000001
307,0.7406
308,0.7341
309,0.7376
310,0.7508
311,0.7455999999999999
312,0.7316
313,0.7388999999999999
314,0.7394
315,0.7488000000000001
316,0.7405999999999999
317,0.7440999999999999
318,0.7335
319,0.7552
320,0.7424000000000001
321,0.7515
322,0.7523000000000001
323,0.7405999999999999
324,0.7484999999999999
325,0.7488999999999999
326,0.7354999999999999
327,0.7474999999999999
328,0.7461
329,0.7534
330,0.7362
331,0.7484
332,0.7494999999999999
333,0.7320999999999999
334,0.7426
335,0.7368
336,0.7434000000000001
337,0.7581999999999999
338,0.7403
339,0.7593
340,0.7383
341,0.7337
342,0.7521
343,0.7404999999999999
344,0.7494000000000001
345,0.7527
346,0.7488999999999999
347,0.7433
348,0.735
349,0.7522000000000001
350,0.7484
351,0.7457999999999999
352,0.7332
353,0.7383
354,0.7494000000000001
355,0.7444
356,0.7495
357,0.7481
358,0.7411000000000001
359,0.7418
360,0.7436999999999999
361,0.7477999999999999
362,0.751
363,0.7489999999999999
364,0.7378
365,0.7407999999999999
366,0.7371
367,0.7572999999999999
368,0.7505
369,0.7462000000000001
370,0.741
371,0.7553
372,0.7477
373,0.7278
374,0.7491000000000001
375,0.736
376,0.7391
377,0.748
378,0.7322
379,0.741
380,0.7444000000000001
381,0.7552000000000001
382,0.7403
383,0.7506000000000002
384,0.7464999999999999
385,0.7363
386,0.7489999999999999
387,0.7369999999999999
388,0.7438
389,0.7548
390,0.7484
391,0.7377
392,0.7402
393,0.7253999999999999
