,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
10,l,l,l,l,l,r,r,l,l,r,r,r,r,l,l,r,l,l,r,l,l,r,r,r,r,l,r,r,r,l,r,r,l,r,l,l,l,r,r,r,l,l,l,l,r,r,r,l,r,r,r,r,r,l,l,r,r,r,r,r,l,r,r,,,,,,,,,,,,,,,,,,,,,,
11,l,r,l,r,l,r,l,l,r,l,r,r,l,r,r,l,r,l,l,l,l,l,r,l,r,r,l,l,r,l,l,r,l,r,r,r,l,r,l,r,r,r,l,l,l,l,l,l,l,r,l,r,r,r,r,l,r,l,l,l,l,r,,,,,,,,,,,,,,,,,,,,,,,
12,r,l,l,r,l,r,r,l,l,r,l,l,l,l,l,l,r,l,l,r,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,l,l,r,r,l,l,r,l,r,l,r,l,r,r,r,l,r,l,l,,,,,,,,,,,,,,,,,,,,,,,
13,r,r,r,r,r,r,l,l,r,r,l,r,r,r,r,r,l,r,r,r,r,r,l,r,l,r,l,r,r,r,r,l,r,l,l,l,r,r,r,l,l,r,r,r,r,r,r,r,l,l,r,l,l,l,r,r,r,r,l,r,r,r,,,,,,,,,,,,,,,,,,,,,,,
14,l,r,r,l,l,r,l,l,r,r,r,r,l,r,r,r,l,r,r,r,r,r,l,l,l,r,l,l,l,r,r,l,r,r,l,l,l,l,l,l,l,l,r,r,l,r,r,r,l,r,l,r,r,r,r,r,r,r,l,r,r,l,,,,,,,,,,,,,,,,,,,,,,,
15,l,r,r,l,r,r,r,r,l,l,r,r,r,r,l,r,r,r,r,l,r,r,r,r,r,l,l,r,r,l,r,r,l,r,r,l,r,l,l,l,r,r,r,r,r,r,r,l,r,r,r,l,r,l,l,l,r,l,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,
16,r,r,r,l,r,l,l,l,r,l,l,r,l,r,l,l,l,l,l,r,l,r,r,l,r,r,l,r,l,r,r,r,r,l,r,r,l,l,l,r,r,l,l,l,r,r,l,r,l,l,l,r,l,r,r,l,r,l,r,l,l,l,,,,,,,,,,,,,,,,,,,,,,,
17,l,l,l,r,l,r,r,l,l,l,l,l,r,l,l,l,r,l,r,l,l,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,r,l,l,r,l,l,r,l,l,l,l,l,l,l,r,l,r,l,l,,,,,,,,,,,,,,,,,,,,,,,
18,l,r,l,l,r,r,r,l,r,l,r,r,r,l,l,l,l,l,r,l,l,r,l,l,l,l,r,l,r,l,r,l,l,l,r,r,l,r,r,l,r,r,l,l,r,l,r,l,l,r,l,l,r,r,l,r,l,l,r,r,l,l,,,,,,,,,,,,,,,,,,,,,,,
19,l,r,l,l,l,l,l,l,r,l,l,r,l,l,l,l,l,l,l,r,r,l,r,l,r,l,l,r,l,l,l,r,l,l,r,r,l,l,l,l,l,l,l,r,r,l,l,l,r,r,r,l,l,l,l,l,l,l,l,l,l,l,r,,,,,,,,,,,,,,,,,,,,,,
20,l,l,r,l,l,l,r,r,r,r,l,r,r,r,r,r,l,r,r,r,l,l,l,l,l,r,r,r,r,r,r,l,l,r,r,r,r,r,r,r,r,r,l,l,r,l,l,r,r,r,r,r,l,r,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,l,r,l,r,r,r,r,l,l,r,l,l,l,r,r,r,r,r,r,l,r,l,l,l,r,r,l,l,r,r,l,l,r,r,l,r,r,l,l,r,r,r,r,l,l,l,l,r,r,r,r,l,r,r,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,r,l,l,l,r,l,r,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,r,l,r,l,r,l,r,r,l,l,l,l,l,l,r,l,l,l,r,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,l,r,l,r,r,r,r,l,l,l,r,l,l,l,l,r,r,r,r,r,r,r,r,l,r,r,l,r,r,l,r,r,r,r,r,r,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,r,r,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,r,l,r,l,l,l,l,l,l,l,l,r,l,r,r,l,l,r,l,l,l,l,l,r,l,r,l,l,l,l,r,l,l,l,r,l,l,r,l,l,l,l,r,l,l,l,r,l,r,l,r,l,l,r,r,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,r,l,l,l,l,l,r,l,l,l,r,l,l,r,r,l,l,l,r,l,l,l,l,l,r,l,r,l,l,l,l,l,l,l,l,r,l,l,r,l,l,l,r,l,l,l,l,l,r,r,r,l,r,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,r,r,l,r,l,r,r,r,r,l,r,r,r,r,r,r,r,r,l,r,r,l,r,r,l,r,l,l,r,r,l,l,r,r,l,r,l,l,r,l,l,r,r,l,l,r,r,r,l,r,r,r,l,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,l,l,r,r,r,r,l,r,r,r,r,r,r,r,r,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,l,r,r,l,l,r,r,r,r,r,r,r,r,r,r,l,r,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,r,r,r,l,r,r,r,l,r,l,l,l,r,l,l,l,r,l,r,l,r,r,l,r,r,l,l,r,l,l,l,l,r,l,l,r,r,l,l,l,r,r,r,l,r,r,l,l,l,r,r,l,r,l,r,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,r,r,r,l,l,l,r,r,l,l,l,r,l,r,r,r,l,r,r,l,r,r,r,l,r,l,l,l,l,r,r,r,l,l,r,l,l,r,r,r,l,r,r,l,l,r,r,r,r,r,l,r,r,r,r,r,r,l,r,l,l,l,l,l,r,l,r,r,r,r,r,r,l,l,l,l,r,r,r,r,l,,,,
30,l,r,r,r,r,l,r,r,r,l,l,r,l,r,r,r,r,l,r,r,r,r,l,r,r,l,l,r,r,r,l,r,r,r,r,l,l,r,r,r,l,l,r,l,r,r,l,l,r,r,r,r,l,r,r,r,r,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,l,r,r,r,l,r,r,r,l,,,,
31,l,l,r,l,l,r,l,r,l,l,r,l,l,l,r,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,l,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,r,r,l,l,l,l,r,r,l,l,l,l,l,l,r,l,l,r,r,l,l,l,r,,,,
32,r,r,r,l,l,l,r,l,l,r,l,l,r,l,l,l,l,l,r,l,l,l,l,r,r,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,l,r,l,r,l,r,l,r,r,l,l,l,l,r,l,l,l,r,l,r,l,l,l,l,l,r,l,l,l,r,l,l,l,l,l,l,l,l,l,r,,,,
33,r,r,l,r,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,r,l,r,l,l,l,l,l,l,l,l,r,l,l,l,l,r,r,l,l,r,l,r,l,l,l,l,l,l,r,r,l,l,r,l,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,r,r,l,l,l,l,l,l,l,l,r,,,,
34,r,r,l,r,r,r,r,r,r,r,l,r,l,r,r,r,r,r,r,l,r,r,r,r,r,l,r,r,r,r,l,l,r,r,r,r,r,r,r,r,r,l,r,l,r,r,r,r,l,r,r,l,r,r,l,r,l,r,r,l,r,r,r,l,r,r,r,l,r,r,r,l,r,r,l,r,r,r,r,r,r,,,,
35,l,r,l,r,r,r,r,r,r,l,r,r,r,r,l,r,r,r,l,r,r,l,r,r,l,l,r,r,r,l,l,l,r,l,r,r,l,r,r,l,r,l,l,r,r,l,r,r,l,l,r,r,l,r,l,r,r,r,l,l,r,l,l,l,l,r,r,l,l,r,r,l,r,r,r,r,l,l,l,r,l,,,,
36,r,l,l,l,r,l,l,r,l,r,r,r,r,l,l,r,l,r,r,r,l,l,l,l,r,r,l,r,l,r,l,r,r,l,l,l,r,r,l,r,r,r,r,l,r,l,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,l,r,r,l,r,r,r,l,l,l,l,r,r,r,r,r,,,,
37,l,l,r,l,r,l,l,l,r,l,l,r,l,l,r,r,r,l,l,l,l,r,r,r,l,r,l,l,l,r,r,l,r,r,r,l,l,r,r,l,l,l,r,l,l,l,l,l,r,l,l,r,l,l,l,r,l,l,l,l,l,r,l,l,l,r,l,r,l,l,l,r,l,l,l,l,r,l,l,l,r,,,,
38,l,r,l,l,r,l,r,r,r,l,r,r,r,r,r,l,l,l,r,r,l,r,r,r,l,l,r,r,r,l,r,r,l,r,r,l,l,l,r,r,r,l,l,l,l,l,r,r,r,l,r,l,r,l,r,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,r,r,l,l,l,l,l,l,r,r,,,,,
39,r,r,l,l,l,r,r,r,r,r,l,r,r,l,r,l,r,r,r,r,l,l,l,l,r,r,l,l,l,l,r,l,r,r,r,l,l,r,l,r,r,l,r,l,r,l,r,l,l,r,l,l,r,r,r,r,l,l,l,l,l,r,l,l,l,r,r,r,r,r,l,r,r,l,r,l,r,,,,,,,,
40,l,l,r,l,r,r,r,l,l,l,r,l,l,r,r,l,r,r,l,l,l,l,l,l,r,l,l,l,l,l,l,l,r,l,r,r,l,l,r,l,l,l,l,r,l,l,l,r,l,l,l,l,l,l,r,l,l,l,r,r,l,l,r,l,l,l,l,l,l,r,l,l,l,l,l,l,,,,,,,,,
41,r,r,r,l,r,r,r,r,r,r,r,l,r,r,l,r,l,r,l,r,r,l,r,r,l,r,r,l,r,r,r,r,l,l,r,r,r,r,l,r,r,r,r,r,l,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,r,l,l,r,r,r,r,r,l,r,r,l,l,r,r,r,,,,,,,,,
42,r,l,r,r,r,l,r,r,r,l,r,r,l,r,r,r,r,l,r,l,l,l,l,r,l,l,l,r,r,l,l,r,r,l,r,l,l,r,l,l,l,r,l,l,r,r,r,l,r,l,l,l,r,r,r,l,r,r,l,l,l,r,l,r,r,r,r,r,r,r,r,r,r,r,l,r,,,,,,,,,
43,r,l,r,r,l,l,r,l,r,l,l,r,r,l,l,r,r,l,r,r,l,l,r,r,r,r,l,r,r,l,l,l,r,l,r,l,r,l,r,r,r,r,r,l,l,l,r,r,l,r,r,r,l,r,r,r,r,l,r,r,r,r,r,r,r,l,r,l,r,r,r,r,l,r,l,r,,,,,,,,,
44,l,l,r,r,r,l,r,r,r,r,l,r,r,r,l,l,l,r,l,r,l,r,l,r,l,r,r,r,l,l,r,r,l,l,l,l,l,l,l,l,l,r,r,l,r,l,r,l,l,r,r,l,r,l,l,l,l,r,l,r,l,l,l,l,r,r,l,r,r,l,r,r,l,l,r,l,,,,,,,,,
45,l,r,l,r,l,l,r,r,l,r,l,l,l,r,l,r,r,r,l,l,r,r,r,l,r,l,l,r,r,r,l,r,l,r,r,r,r,l,r,r,r,r,r,r,r,l,r,r,r,l,l,r,l,r,r,r,l,l,r,r,r,r,r,r,r,l,r,r,r,r,r,l,r,r,l,r,r,,,,,,,,
46,r,l,l,l,l,r,r,r,l,l,l,r,r,l,r,l,r,r,r,l,r,r,l,l,r,r,l,r,l,l,r,l,r,r,r,r,r,r,r,r,l,r,r,r,l,l,r,l,r,l,r,l,l,l,r,r,r,r,r,r,r,r,r,l,r,r,l,r,r,r,l,r,l,r,l,r,r,,,,,,,,
47,l,l,l,r,r,r,r,l,l,l,r,l,l,r,l,l,l,r,r,l,r,l,r,r,r,r,r,r,l,l,r,r,r,l,r,l,r,r,r,l,l,r,l,r,l,r,r,r,r,r,r,r,l,r,l,l,r,r,r,r,l,r,l,r,l,l,l,r,l,r,r,l,l,r,r,r,r,,,,,,,,
48,l,r,l,r,r,r,r,r,r,l,l,r,r,l,r,r,r,r,l,l,r,l,r,r,r,r,l,l,l,r,l,l,r,r,l,l,r,r,r,r,r,l,r,r,l,r,r,r,l,l,l,l,r,r,r,r,r,r,r,r,l,l,r,r,l,l,r,r,l,r,l,r,l,l,r,l,r,,,,,,,,
49,r,l,r,l,r,l,l,r,l,l,r,r,r,r,r,r,l,l,r,r,r,l,l,l,l,l,r,l,r,r,r,l,l,r,r,r,l,l,r,l,l,l,l,r,r,l,r,r,l,l,l,r,l,l,l,l,r,r,l,l,r,,,,,,,,,,,,,,,,,,,,,,,,
50,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,
51,l,l,r,r,l,r,l,l,r,r,l,l,l,l,r,r,r,l,l,r,r,r,r,r,r,l,r,l,l,l,r,l,r,l,l,l,r,l,l,l,r,l,r,r,r,r,r,r,r,l,r,l,l,l,r,r,r,r,l,l,r,,,,,,,,,,,,,,,,,,,,,,,,
52,r,r,l,r,r,r,r,l,r,r,r,r,r,r,r,r,r,l,r,r,l,r,r,r,r,r,l,r,r,l,r,r,r,r,l,r,r,r,r,l,r,l,r,r,l,r,r,r,l,l,l,r,r,r,r,r,l,l,l,r,l,,,,,,,,,,,,,,,,,,,,,,,,
53,l,l,r,r,l,l,l,l,r,l,l,l,l,l,l,r,l,l,r,r,l,l,l,l,r,r,l,r,l,l,r,l,l,l,l,l,r,l,l,l,l,r,l,r,l,l,l,l,l,r,l,l,l,l,r,l,l,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,
54,l,r,l,l,l,r,r,r,l,r,l,l,l,l,l,l,l,l,l,r,l,l,l,r,l,l,l,l,l,l,r,r,r,l,l,r,l,l,r,l,l,r,r,r,l,l,r,l,l,l,r,l,l,r,l,l,l,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,
55,r,l,l,l,r,r,r,r,l,r,r,r,l,r,r,r,r,r,r,r,l,l,r,r,r,r,r,r,r,r,l,r,l,r,r,r,r,r,l,r,r,r,r,r,l,r,r,r,r,r,r,l,l,l,r,l,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,
56,r,r,l,l,r,r,r,r,l,l,r,r,l,l,l,r,r,l,l,l,r,l,r,l,r,l,l,l,l,l,r,l,r,l,l,l,r,l,l,r,l,l,r,r,l,r,r,l,l,l,r,l,l,r,r,r,l,l,l,l,r,,,,,,,,,,,,,,,,,,,,,,,,
57,l,r,r,l,r,l,l,r,l,l,r,l,l,r,l,l,r,l,r,l,r,r,l,r,l,r,l,r,l,l,r,l,r,l,r,l,r,r,l,r,l,r,r,r,r,l,r,l,r,r,l,r,r,l,l,l,l,l,l,l,r,,,,,,,,,,,,,,,,,,,,,,,,
58,r,l,l,l,r,l,r,r,r,l,l,r,r,l,l,r,l,r,l,l,r,r,r,r,r,r,r,r,r,r,r,r,r,l,r,r,r,l,r,l,r,l,r,l,l,r,l,r,l,r,r,r,l,l,l,l,r,r,r,l,l,,,,,,,,,,,,,,,,,,,,,,,,
59,l,l,l,l,r,r,l,r,r,l,r,r,l,r,r,l,l,l,r,l,r,r,r,l,l,r,r,r,r,r,r,l,r,r,r,r,l,l,r,r,l,r,r,r,l,r,r,r,l,r,l,r,r,r,l,l,l,l,l,r,r,l,r,r,l,r,l,,,,,,,,,,,,,,,,,,
60,l,l,l,r,l,l,l,l,l,r,r,l,l,l,l,l,l,r,r,l,r,l,l,l,r,r,l,r,l,l,l,l,l,l,l,r,r,l,l,r,r,l,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,l,l,l,l,r,l,l,,,,,,,,,,,,,,,,,,,
61,r,l,r,l,l,l,l,r,l,r,r,r,l,l,l,r,l,l,r,l,l,l,l,r,l,l,l,l,l,l,r,l,l,l,l,l,l,r,r,r,r,r,r,r,l,l,l,l,l,r,r,l,l,l,r,r,l,l,l,l,l,l,r,l,r,r,r,r,,,,,,,,,,,,,,,,,
62,r,l,l,l,r,r,l,l,l,l,l,l,r,l,r,l,l,r,l,l,r,l,l,l,l,r,l,l,l,l,l,l,r,l,l,l,l,l,r,r,r,l,l,r,l,l,l,l,l,l,l,r,l,l,l,r,r,l,l,r,l,l,l,l,l,l,l,r,,,,,,,,,,,,,,,,,
63,r,l,r,r,r,r,r,r,l,l,l,l,l,l,r,r,l,l,r,r,l,l,l,l,l,r,r,l,l,l,l,l,r,r,l,l,r,l,l,l,l,r,r,l,r,r,r,r,l,l,l,r,l,r,r,l,l,r,l,r,r,r,r,l,r,l,l,,,,,,,,,,,,,,,,,,
64,r,l,l,l,l,r,l,l,r,r,l,l,r,l,r,r,r,r,l,l,l,l,r,l,l,r,l,l,l,l,r,r,r,r,l,l,l,l,l,l,l,l,l,l,l,l,r,l,r,r,l,l,l,l,r,r,l,l,l,l,l,l,r,r,l,r,r,r,,,,,,,,,,,,,,,,,
65,l,r,r,r,r,r,l,r,r,r,l,r,r,r,r,r,r,r,r,r,l,r,l,r,l,r,r,r,r,l,r,l,r,r,l,r,r,l,l,r,r,r,l,r,r,l,l,r,r,l,r,r,l,l,r,l,r,r,r,l,r,r,r,l,r,r,r,l,,,,,,,,,,,,,,,,,
66,l,l,l,l,l,r,l,r,r,r,r,r,l,r,r,r,r,r,r,l,r,r,r,l,l,r,r,l,r,l,r,l,r,r,l,l,l,l,l,l,r,r,r,r,r,r,l,r,r,r,r,l,r,l,l,r,l,r,r,r,r,r,l,r,l,l,r,,,,,,,,,,,,,,,,,,
67,l,r,r,r,l,r,r,l,r,r,r,r,r,r,r,r,r,l,r,l,l,r,r,r,r,r,r,r,r,r,r,l,l,r,r,r,r,r,l,l,r,r,r,r,r,l,r,r,r,l,r,r,l,l,r,r,l,r,l,r,r,r,r,r,r,l,r,,,,,,,,,,,,,,,,,,
68,l,r,r,r,l,l,l,r,r,r,l,r,l,r,l,l,l,l,r,l,l,r,l,l,r,r,r,r,r,r,r,r,l,r,r,r,r,r,l,r,r,l,l,l,l,l,r,l,r,l,r,l,r,r,r,r,r,r,l,l,l,l,r,l,r,r,r,l,,,,,,,,,,,,,,,,,
69,r,r,l,l,l,l,l,r,r,r,l,l,l,l,r,l,r,r,l,l,l,l,r,l,r,r,l,l,l,r,r,r,r,r,l,r,l,r,l,r,r,l,r,l,l,r,r,r,l,r,r,r,l,r,r,l,r,r,l,r,r,,,,,,,,,,,,,,,,,,,,,,,,
70,l,l,r,r,l,r,r,l,r,r,r,r,r,r,r,r,l,l,l,r,r,r,r,l,l,l,l,r,r,r,r,l,l,l,l,l,r,l,r,r,r,r,l,l,l,l,r,l,r,r,l,r,r,r,r,l,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,
71,l,l,r,l,l,r,l,l,r,r,l,r,r,r,l,l,r,l,r,r,l,r,r,r,r,l,r,r,r,r,r,l,r,r,r,l,l,l,r,r,l,r,r,l,r,l,r,l,l,l,l,l,l,l,r,l,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,
72,l,l,l,r,l,l,l,l,r,r,l,l,l,l,r,r,l,l,l,l,l,l,l,l,r,r,l,l,r,l,l,l,l,r,r,l,r,l,l,l,r,r,r,l,r,l,l,r,r,l,r,l,l,r,r,l,r,l,l,r,l,,,,,,,,,,,,,,,,,,,,,,,,
73,l,r,l,l,l,l,l,l,r,r,r,l,r,r,l,r,l,l,l,l,l,r,l,r,r,r,r,l,r,r,r,l,r,r,r,l,l,r,r,l,r,r,r,r,r,l,r,r,r,r,r,r,r,r,r,l,l,l,r,r,l,,,,,,,,,,,,,,,,,,,,,,,,
74,l,l,l,l,r,r,l,r,r,r,l,l,r,r,l,l,l,l,r,r,r,r,l,l,r,r,l,l,r,r,l,r,r,l,l,r,l,r,r,l,r,r,r,r,l,l,l,r,r,r,l,r,r,l,r,l,l,r,r,l,,,,,,,,,,,,,,,,,,,,,,,,,
75,l,l,l,r,l,l,l,l,l,r,r,l,r,r,r,r,l,l,l,l,l,l,r,r,r,l,l,l,r,l,r,r,l,l,l,l,r,r,l,r,r,r,r,l,r,r,l,r,l,l,l,l,l,l,l,l,l,l,l,r,l,,,,,,,,,,,,,,,,,,,,,,,,
76,r,l,l,l,l,r,r,r,r,r,r,r,r,r,l,r,l,r,r,r,r,l,r,r,r,r,r,l,r,r,r,r,r,r,r,r,r,r,r,l,r,r,r,r,r,r,r,r,l,r,r,l,r,l,l,l,r,r,r,r,r,,,,,,,,,,,,,,,,,,,,,,,,
77,l,l,l,l,l,r,l,r,l,l,r,r,l,l,l,l,r,r,r,l,l,l,l,l,l,l,l,l,l,r,l,l,r,l,l,l,l,r,r,r,l,r,l,l,l,l,l,l,l,l,l,r,l,r,l,r,l,r,l,r,r,,,,,,,,,,,,,,,,,,,,,,,,
78,l,l,l,r,r,l,r,r,r,l,l,l,l,r,l,r,l,r,r,l,l,l,l,l,l,l,r,l,r,r,r,l,l,l,r,l,r,l,l,r,r,r,r,l,r,r,l,l,l,l,l,l,r,r,l,r,l,l,l,r,l,,,,,,,,,,,,,,,,,,,,,,,,
79,l,r,r,r,l,r,l,l,r,r,r,l,l,r,r,r,l,r,r,r,l,r,l,r,r,l,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,r,l,r,r,r,l,l,l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,l,l,l,r,r,l,l,r,l,r,r,l,l,l,l,l,r,l,r,l,l,l,r,r,r,r,l,r,r,r,r,l,r,r,r,l,r,l,r,l,r,l,r,l,r,l,r,r,l,r,r,l,r,l,r,l,l,r,r,r,r,r,r,r,r,l,l,r,r,r,r,l,r,,,,,,,,,,,,
81,l,r,l,l,r,l,l,l,l,r,l,r,l,l,l,l,l,r,r,r,r,l,r,r,r,l,l,l,l,l,r,l,l,r,l,l,l,l,l,l,l,r,r,r,r,l,l,r,l,r,r,r,r,l,r,r,l,r,r,r,l,l,l,l,r,l,r,l,l,l,r,r,r,,,,,,,,,,,,
82,l,l,r,r,l,l,r,r,r,r,r,l,l,r,r,l,l,r,r,r,l,r,r,r,r,l,l,r,r,r,l,r,l,r,l,l,l,l,r,r,l,l,l,l,l,l,r,r,r,r,r,l,l,l,r,l,r,r,r,r,r,r,r,l,l,l,l,l,r,l,r,r,r,,,,,,,,,,,,
83,r,l,l,r,l,r,l,l,l,r,l,r,r,l,l,r,l,l,l,l,l,l,l,l,l,l,l,l,l,r,l,r,r,l,l,l,l,l,l,l,r,l,r,r,l,l,r,l,l,r,l,l,l,r,r,l,l,l,r,l,l,r,r,r,r,r,l,r,l,l,l,l,r,,,,,,,,,,,,
84,r,r,r,l,r,r,r,r,l,r,r,l,l,l,r,r,r,r,r,l,r,r,r,r,l,l,r,l,l,l,r,l,r,r,l,l,r,l,r,r,l,r,r,r,r,r,l,r,r,r,r,l,r,l,r,l,r,l,r,l,l,r,r,r,l,l,l,l,r,r,r,l,r,,,,,,,,,,,,
85,r,l,r,r,l,l,l,r,r,r,l,l,l,l,l,l,l,r,l,l,l,r,l,l,r,r,l,l,l,l,l,l,l,l,l,l,l,r,l,l,l,l,l,r,l,l,r,r,r,l,l,r,r,l,r,l,l,l,l,r,r,r,l,l,l,l,r,r,r,r,r,r,l,,,,,,,,,,,,
86,l,r,r,r,l,r,r,r,l,l,r,r,r,l,r,l,l,l,l,l,l,l,r,l,r,r,l,r,r,r,r,r,r,l,l,l,l,r,r,r,l,l,r,r,r,l,r,r,r,r,l,l,r,l,r,l,l,l,l,l,l,r,r,l,r,r,l,r,l,l,r,r,l,,,,,,,,,,,,
87,l,l,l,r,r,l,l,l,l,l,l,r,l,l,r,r,l,r,l,l,r,l,r,r,l,l,l,l,l,l,l,l,r,l,r,l,r,l,l,l,l,r,l,l,r,l,r,l,l,l,l,r,r,l,l,l,l,l,r,r,l,l,l,l,l,l,l,l,l,r,l,r,,,,,,,,,,,,,
