,0,1,2,3,4,5,6,7,8,9
0,-0.9550216061998216,-1.7836807862805841,-1.2097945456886252,-1.0270021940623295,-0.9383864520943099,-0.8872403219676752,-0.8523149204432308,-0.8282507063405133,-0.809930468568379,-0.7959217265350694
1,-0.9617564044724138,-1.7108143296369558,-1.1607617943860369,-0.9877384691123337,-0.9032830642024874,-0.8563501056560172,-0.8226304179650076,-0.7996807216882649,-0.7824029434590861,-0.7692077936250736
2,-0.9564856927808199,-1.8131268201297217,-1.2296091506670683,-1.0404490280768104,-0.9483222372206825,-0.8955710203243586,-0.8595253851797878,-0.8356614159837077,-0.8169665356252443,-0.8026674902336435
3,-0.952093433037825,-1.77469725053,-1.2037494119663883,-1.0216122523889082,-0.9333431208289396,-0.882585080381443,-0.846862721185416,-0.8225042615753767,-0.8039108350778479,-0.7896701892707434
4,-0.9672467291511575,-1.835211345516575,-1.2444701044009012,-1.0528656031986736,-0.9594036527299016,-0.9071932438542412,-0.86984817877804,-0.8454723746085944,-0.8266807859068125,-0.8123943818914967
5,-0.9608047481947649,-1.8464407652048052,-1.2520265215536974,-1.0565245207239857,-0.9616720836627738,-0.9087677326065353,-0.8730283269836054,-0.846501897548045,-0.8277848536976835,-0.8135728376602025
6,-0.9542895629093225,-1.7754458785092155,-1.2042531731099082,-1.0230315545538557,-0.9353305165731167,-0.8836972028450694,-0.8504385777267993,-0.826102876861871,-0.8079349832167968,-0.7940255734738384
7,-0.9627080607500627,-1.7620953462132083,-1.1952694327171398,-1.014930022086309,-0.927265917438353,-0.8781415048318264,-0.8433003971142774,-0.8205568461137241,-0.8029664870927481,-0.7895159709806243
8,-0.9476279689657803,-1.7675852847274538,-1.198963681102951,-1.0197767916274834,-0.932884725109357,-0.8815547443580619,-0.8489135356147416,-0.8240874473760639,-0.8058413011228545,-0.7918618926527615
9,-0.9477011732948301,-1.7704550253144462,-1.2008947654864435,-1.0242690988163194,-0.9383937900189028,-0.8876360652899291,-0.8540888903393689,-0.829468834034729,-0.8108596243213836,-0.7965600804070326
10,-0.9532647023026237,-1.8096332228933836,-1.2272582653306434,-1.0390218349972682,-0.9477005013127807,-0.8951199334046375,-0.8606983590373768,-0.8368840146436869,-0.8188442627525018,-0.8051018705216515
11,-0.954655584554572,-1.7558567797197466,-1.1910714231878086,-1.0140801350572832,-0.9288274922516917,-0.87990107008579,-0.8417486807098303,-0.8201053286087657,-0.8018818580421652,-0.787918628889073
12,-0.9505561421277766,-1.7967817759168536,-1.2186103657002212,-1.03485059346178,-0.9461597161557178,-0.8942997029776109,-0.8608062390195604,-0.8352064139002214,-0.8168300898562807,-0.8027846034043786
13,-0.9452854304361828,-1.7665871140885003,-1.1982919995782582,-1.0172452374456595,-0.9300407341252708,-0.8779508390570206,-0.8456506835733556,-0.8206350125022827,-0.8026282159319807,-0.788909362980112
14,-0.9665878901897085,-1.7619705748833385,-1.1951854725265532,-1.0143427685797262,-0.9245334216160421,-0.8758021030652356,-0.8407672308354543,-0.8183329871306976,-0.8003553696976831,-0.7865922132328738
15,-0.9542163585802725,-1.808759823584299,-1.226670543996537,-1.0401529311386768,-0.9486167734419794,-0.8962728104785671,-0.8612520536483376,-0.8375427341835991,-0.8187784923872262,-0.8043500268436686
16,-0.9685644070740558,-1.7276584591693016,-1.1720964201152315,-1.0006165134597416,-0.9171979104246262,-0.8690952741453047,-0.8344607350014134,-0.8117576968361858,-0.7937186360769021,-0.7798222335384313
17,-0.9555340365031709,-1.8207378712517446,-1.2347307222928532,-1.0462645837673237,-0.95516970693907,-0.9037320742409692,-0.8642395898015715,-0.8412608102726078,-0.8223586151786557,-0.8079134125500257
18,-0.9630008780662624,-1.796033147937638,-1.218106604556701,-1.0352615881877134,-0.9466916784711741,-0.8953433143399578,-0.8584839192146957,-0.835214337208667,-0.8165471197503217,-0.8022842963633761
19,-0.9567053057679697,-1.7970313185765914,-1.2187782860813945,-1.0319411727184222,-0.9412682218085764,-0.890446663584594,-0.853131644605342,-0.8298735196740304,-0.8114095890607285,-0.797252275403752
20,-0.9531182936445239,-1.7936624926701223,-1.2165113609355551,-1.0318233911024093,-0.9418481394277206,-0.8886507404936131,-0.8559146041019299,-0.8309843578641462,-0.8124411878764609,-0.798247064465411
21,-0.9501169161534773,-1.785801898888361,-1.211221868928598,-1.0301001010847337,-0.942683323810893,-0.8928250981203378,-0.8549338158890977,-0.8320177568618521,-0.8134245351531915,-0.7991341511234756
