,calibrated hard classifier,h_infinity: ideal classifier
0,7.339309446530207,9
1,6.444798863601711,9
2,7.443139374926628,9
3,6.882183718587112,9
4,7.578830310172309,9
5,7.598368900747575,9
6,7.426842470341502,9
7,6.9280613572329575,9
8,7.43149157911161,9
9,8.074587402377862,9
10,7.623542901188498,9
11,7.538083034604623,9
12,6.75333536803768,9
13,7.35513891542206,9
14,6.34442924139181,9
15,7.684335161078307,9
16,6.994953910436412,9
17,7.118007946708918,9
18,7.609284385439117,9
19,7.564006456283174,9
20,7.027747669933343,9
21,7.6558078692609275,9
22,7.789607879155757,9
23,7.43515976812251,9
24,7.5806934263799475,9
25,7.9440325482344845,9
26,7.669203036475952,9
27,7.093917076411242,9
28,7.406963479618158,9
29,6.909403699511456,9
30,8.687391158947808,9
31,6.417297737243207,9
32,6.820105603533111,9
33,7.841621838329772,9
34,6.514165289920189,9
35,8.228870492039247,9
36,8.871273879923972,9
37,8.165520164506429,9
38,7.600704131498682,9
39,8.215003877248272,9
40,7.768739873450426,9
41,7.347144164075917,9
42,6.962079923908491,9
43,7.22346032511579,9
44,7.4374149365747,9
45,7.695172174451665,9
46,7.6106758757846436,9
47,6.866848080648274,9
48,7.794909408027974,9
49,6.518327535240484,9
50,6.828005984849727,9
51,6.979468406644497,9
52,7.901139049792688,9
53,7.169595605832637,9
54,6.711682108392807,9
55,7.79094779172946,9
56,5.687704123794714,9
57,7.151777988187221,9
58,6.784775848199279,9
59,8.169897472693583,9
60,6.913687517188585,9
61,6.710676358063698,9
62,7.3357158005298455,9
63,7.775603082500805,9
64,7.123999790936761,9
65,7.007787768438169,9
66,6.64883115283416,9
67,8.069429911401953,9
68,6.088284922652631,9
69,8.24598381696824,9
70,7.8128395164532,9
71,8.74645459557288,9
72,6.7707269480431735,9
73,7.2357981377517575,9
74,8.22556348310331,9
75,7.134116881672731,9
76,6.6597850160992085,9
77,7.178833263978866,9
78,8.025570621722348,9
79,7.35592124609182,9
80,8.793962788187311,9
81,7.165899015133156,9
82,8.332758874571136,9
83,7.846070790095218,9
84,7.884576362497257,9
85,7.731729805978947,9
86,7.305538492140842,9
87,7.649939257841561,9
88,7.559329325601168,9
89,7.886880578415719,9
90,7.1140262631072275,9
