,calibrated hard classifier,h_infinity: ideal classifier
0,-0.8220344766017487,-0.7047591177585949
1,-0.812422419141108,-0.6916839432102432
2,-0.8273769783873302,-0.7103492465691086
3,-0.8253740847075776,-0.7012896990796376
4,-0.8345952334917115,-0.7167285298898971
5,-0.83530220059406,-0.7224216263462461
6,-0.8183480482575058,-0.7033299656202351
7,-0.822192986304407,-0.6955666556069657
8,-0.8162143889165652,-0.7021194153809108
9,-0.809793058485624,-0.6981836677500757
10,-0.8256354554127366,-0.7135293118198175
11,-0.8102995882652613,-0.692421318941735
12,-0.8415209853415829,-0.7085832446647076
13,-0.81424009829808,-0.6994703284932599
14,-0.833040221295026,-0.6983470028654973
15,-0.824701703751366,-0.7117096338289287
16,-0.8118722584001331,-0.6886078074569629
17,-0.8390302010412791,-0.7145760140735798
18,-0.8238406930917007,-0.7037140565535317
19,-0.8194597435997636,-0.709524107165294
20,-0.83046982810381,-0.7093137745457089
21,-0.8198241757503993,-0.7046958909824423
22,-0.827452456408553,-0.7170429455331019
23,-0.8176250664910713,-0.7016678288251786
24,-0.8242676342218502,-0.7036426250332803
25,-0.8184208256085903,-0.709898313961062
26,-0.8141814757860502,-0.7006507530879177
27,-0.8230456303100271,-0.7034384459717693
28,-0.8180597359398696,-0.7015633612081897
29,-0.8268179313816362,-0.7061031214263023
30,-0.8138393969014469,-0.71900762753529
31,-0.8147075359604786,-0.6825587459660001
32,-0.811339246551509,-0.686571091426879
33,-0.8024792313953253,-0.6951701172739081
34,-0.8078696333209912,-0.6809130953486031
35,-0.8369439767538169,-0.7277051337681995
36,-0.8296908002276464,-0.7250926862211704
37,-0.8078541019182011,-0.698598179283904
38,-0.8198790220215637,-0.7026137296533229
39,-0.8365361525009334,-0.7324547268310674
40,-0.8218117147525327,-0.7132383050414919
41,-0.8262921282409869,-0.7074038453685262
42,-0.812666238001229,-0.6962082428437089
43,-0.8289023664760895,-0.7045188764674177
44,-0.8157268957055855,-0.7035554899119549
45,-0.8279875690080327,-0.7147594251631061
46,-0.8257071551263587,-0.7059615920299878
47,-0.8206189214311099,-0.7029734629654574
48,-0.8165998801448413,-0.7019823087091994
49,-0.8126928325947326,-0.6865319271687554
50,-0.8482506256382927,-0.7213219532464548
51,-0.8279448571336754,-0.7029488364317832
52,-0.8278390671667853,-0.7121827571912557
53,-0.8195727164900888,-0.69587681535193
54,-0.8233578846437284,-0.69724571476036
55,-0.8250924796619314,-0.7116508681221101
56,-0.8375778109880045,-0.6931526951407406
57,-0.8251957017246248,-0.7023793215676662
58,-0.8248449628028183,-0.6973556821350055
59,-0.8093154125188384,-0.7085073006350814
60,-0.8127989780786999,-0.6924195115660703
61,-0.8201026408238414,-0.6995783343193849
62,-0.8284689387583507,-0.7025272735818352
63,-0.8188345804890107,-0.7110585217986058
64,-0.8235880843834231,-0.7085998842212902
65,-0.819400677652198,-0.6910901351130481
66,-0.8311295207698969,-0.6950401253651992
67,-0.8295324309007801,-0.7205218123161774
68,-0.847667921501588,-0.7032610986555452
69,-0.8176654569301723,-0.708219216462937
70,-0.8319705960153486,-0.7187916924252338
71,-0.8253566732383317,-0.7251896541872515
72,-0.8434536437899081,-0.7159899876351153
73,-0.8037295429185225,-0.6886637523492143
74,-0.8299203860068396,-0.7270513426475194
75,-0.8211933210476886,-0.7015781548971086
