,0_uncalibrated,0_calibrated
0,-0.49138673343117173,-0.4540010423231187
1,-0.4941627790469051,-0.4543902208218424
2,-0.5193808894362837,-0.4783789182059922
3,-0.5056546242783876,-0.4636684099083436
4,-0.446801408879172,-0.4248334169176152
5,-0.46313420267812266,-0.43497404830934827
6,-0.46041877920672464,-0.42861426990884366
7,-0.4685901688926369,-0.4422299433279913
8,-0.5040162190015978,-0.4613424210737357
9,-0.43699322037442445,-0.4175313501493714
10,-0.5566575541492941,-0.5011846473288466
11,-0.4916999074241306,-0.4511517172045731
12,-0.4842750168071955,-0.4487581914103663
13,-0.4329549610082411,-0.41199203478788293
14,-0.5182495709359628,-0.4728196230829481
15,-0.4733195261013396,-0.4446059153854987
16,-0.475564412159584,-0.4450346732651745
17,-0.5652514889958523,-0.505836272172464
18,-0.5275037347639047,-0.4737604741541993
19,-0.47230869842280837,-0.4418503447444179
20,-0.461618671279868,-0.43619654006843084
21,-0.46742254769360503,-0.4385911419902776
22,-0.47258247825776745,-0.4401639180111044
23,-0.5087790462460322,-0.46582841632644845
24,-0.4782400583659742,-0.4416106117162698
25,-0.48383219817305145,-0.4454578706925116
26,-0.4789016332546948,-0.44932466478744093
27,-0.42855640342170287,-0.4044346710263292
28,-0.513885359110568,-0.47005640037242397
29,-0.49071715359417223,-0.4549037895110764
30,-0.47196779857249344,-0.44315151335787645
31,-0.5255298037808925,-0.4806262914870102
32,-0.5621397297035295,-0.5055323929152404
33,-0.4630616696090087,-0.4341762244319756
34,-0.48216722142454316,-0.44637461665319034
35,-0.5154091884681348,-0.4716419337634834
36,-0.4830717064502196,-0.45104375709226
37,-0.436612881310445,-0.41091944839796024
38,-0.5755995896115859,-0.5084305967409423
39,-0.5255205220299184,-0.4765848070322182
40,-0.5159545968984163,-0.47064344208566095
41,-0.5000367958028715,-0.46119807189449774
42,-0.468819728864729,-0.4404295324395013
43,-0.45259306255399484,-0.4280077925869202
44,-0.5363307232209552,-0.48459154670829147
45,-0.48251127293500584,-0.44533141820203614
46,-0.4851452171927015,-0.45240727816712895
47,-0.4550598919309051,-0.4320391991898804
48,-0.5060339175136526,-0.46370710740470816
49,-0.5390384456340956,-0.484072107480975
50,-0.49911797812289305,-0.4603727579395471
51,-0.5275283757127542,-0.4844210123276146
52,-0.5350095558929155,-0.48284242901175783
53,-0.46619518513889563,-0.4403013799335845
54,-0.4651430087279344,-0.43523607338621145
55,-0.5298848464159328,-0.4783746212311864
56,-0.5406991302226073,-0.48884633018192875
57,-0.4752459478716382,-0.4457947785169459
58,-0.44539864884673347,-0.4243407188636503
59,-0.4381261055247164,-0.4147753872453623
60,-0.460846217981652,-0.4354583671582912
61,-0.4405400936469884,-0.42170565552316797
62,-0.5029316923919135,-0.460959483235053
63,-0.5015768224643232,-0.4608402474538292
64,-0.4821033983847394,-0.4487848450598514
65,-0.4482886352232646,-0.41836535822965387
66,-0.4622182162639141,-0.4323178523996643
67,-0.44357450267902876,-0.4197970422162454
68,-0.47839198109990433,-0.4456704060869096
69,-0.4625152035215473,-0.4350879134718721
70,-0.4692746323395101,-0.43625267663416256
71,-0.5041220019605824,-0.4664987157894119
72,-0.46479307894915534,-0.43467674880959667
73,-0.44885525460266334,-0.42383493208792655
74,-0.5104342799863721,-0.4692225356272009
75,-0.4653017024944832,-0.4353008036398234
76,-0.47521940157796366,-0.4433763383978116
77,-0.5078831158137277,-0.46704013803418476
78,-0.4520373297808294,-0.42514393370006065
79,-0.5043143725142412,-0.46309164881232245
80,-0.5835993397824725,-0.5135307652740463
81,-0.4877730577970995,-0.4507738593181379
82,-0.46993344654967656,-0.43613877713693666
83,-0.45676092612529245,-0.42748973283999475
84,-0.4515514030046208,-0.4295480851457154
85,-0.4776817235057497,-0.4415223746812218
86,-0.4905930469441368,-0.4531487328335177
87,-0.5008510610965292,-0.4556177186814879
88,-0.6044910660917439,-0.5325425436768553
89,-0.5984357838641026,-0.5281054115839015
90,-0.43421478416211695,-0.41573007988247224
91,-0.47790931141250087,-0.4472093986856282
92,-0.5033790066718674,-0.46422755308091307
93,-0.5830391802046789,-0.5178151538903188
94,-0.4440558953376336,-0.41723756389491445
95,-0.5654777653101746,-0.5014508278294967
96,-0.5159930413120656,-0.47020982761137514
97,-0.5226275316921203,-0.4779201566991173
98,-0.4693762273011845,-0.4384398439819731
99,-0.5077306631618291,-0.4639335932385616
100,-0.4942808495453494,-0.4607232073142787
101,-0.4701653030941618,-0.43588607324837414
102,-0.48793976455606586,-0.4504804420078236
103,-0.48670530659026384,-0.4564948832404997
104,-0.4786062027255746,-0.4484012467439919
105,-0.45258185030639964,-0.42524778903704546
106,-0.5284590606815781,-0.47751181683022353
107,-0.4982897264204251,-0.4599756221360388
108,-0.4515858037529728,-0.4252142180439771
109,-0.48319807934399234,-0.4484820198462642
110,-0.49223179412250306,-0.45246137455630064
111,-0.4897177901416201,-0.4537218472988516
112,-0.45313311810343293,-0.4272691006099062
113,-0.45784904055640663,-0.43151129608810773
114,-0.6114663763120559,-0.5375202914012315
115,-0.4819935953262679,-0.4488975096813681
116,-0.4806769548207676,-0.44759730227183725
117,-0.48404773326205924,-0.44723937865192326
118,-0.5479887763703566,-0.49269712412437033
119,-0.506567566051415,-0.46278233874048
120,-0.5050506520403932,-0.4638226366045854
121,-0.4993252852358844,-0.46031422238809244
122,-0.5281182818362768,-0.4786324560865255
123,-0.5994429250072676,-0.5266288583487065
124,-0.4855095378652926,-0.45133998145878096
125,-0.4832107329004677,-0.4462239914159464
126,-0.5210564567985103,-0.47261184407892604
127,-0.47016952404609824,-0.44149027300567273
128,-0.4560573837433331,-0.43045423817932654
129,-0.5221789396967292,-0.4750104191112888
130,-0.5160929204079264,-0.4693619649296997
131,-0.46758626138561027,-0.43439667929756454
132,-0.4746540476092931,-0.4397779350283469
133,-0.45737829859429224,-0.4278647208285504
134,-0.5844704141416757,-0.5213741730316683
135,-0.5110816018692831,-0.46817896125448105
136,-0.4830411881640747,-0.4461314100195968
137,-0.5176567669332311,-0.47155475255773965
138,-0.44947385856912586,-0.4251224708426194
139,-0.5445635921655613,-0.4927886975926481
140,-0.5496391652054698,-0.4903364500628088
141,-0.4685308594055599,-0.4362674114313717
142,-0.5396945828333435,-0.48923779687191415
143,-0.5581152244991617,-0.4983579416572289
144,-0.4920775377516913,-0.462818759856292
145,-0.4732672379240287,-0.44416160849159453
146,-0.5761600467931919,-0.5114297712160671
147,-0.48197397099180567,-0.4501426271900411
148,-0.4720470712045279,-0.44232755485840397
149,-0.544687040370727,-0.49636808489259737
150,-0.49310854650570873,-0.4526461283685534
151,-0.5628088826799381,-0.4999823628118712
152,-0.5127177820454611,-0.46778484295816025
153,-0.5457715839571661,-0.49679900391500303
154,-0.48506104772616937,-0.45181556576058524
155,-0.4569444976866762,-0.43148496224496624
156,-0.4711518161554356,-0.4385016895566244
157,-0.4913673681787944,-0.45582351389342435
158,-0.5069590446181288,-0.46133408325697
159,-0.48674101904119077,-0.452286228239093
160,-0.43031685611171794,-0.41340819258841505
161,-0.48945858307835866,-0.4508235624319613
162,-0.4936374217461427,-0.45533055809034134
163,-0.44633076932848115,-0.41863316051975386
164,-0.5307222252037546,-0.4801979204935617
165,-0.48499103365019625,-0.44634273101741073
166,-0.49685345920912066,-0.45734856987871214
167,-0.4513805820299129,-0.4253251844015269
168,-0.5003843717221897,-0.4658963005225117
169,-0.5243500352665463,-0.48051599901347836
170,-0.4857285447088213,-0.4518015546872101
171,-0.4358430598781834,-0.41392190336612045
172,-0.47193631148646686,-0.4374425405611361
173,-0.4853487434015763,-0.4490550642483136
174,-0.5608310819368436,-0.5017288976946249
175,-0.5836734420615749,-0.5155139509095604
176,-0.5189427279718368,-0.4727584425570667
177,-0.4607844778420729,-0.4359598698632379
178,-0.5303817395302812,-0.48291822011987023
179,-0.48125522153931416,-0.44875125256861753
180,-0.5368974987845057,-0.48906319019826283
181,-0.5344772631363458,-0.48174338703355385
182,-0.5110842370965744,-0.46517781108745776
183,-0.4149168667912637,-0.3974576499867322
184,-0.4339246857009342,-0.4144375945081477
185,-0.4612787193893309,-0.4323524617458861
186,-0.5450817153868974,-0.4914859378394573
187,-0.5045044714035197,-0.4618923635298442
188,-0.4899828543921116,-0.45446137134575126
189,-0.5494479431763851,-0.49833824022845946
190,-0.44501396624634265,-0.4216286102909929
191,-0.5416226304198007,-0.48721635685637166
192,-0.5021602330671453,-0.457833968975781
193,-0.44760784147255056,-0.425729889702112
194,-0.5782368535926684,-0.5161450583685235
195,-0.575866493973233,-0.5122541298080469
196,-0.47181550684150875,-0.441671080306874
197,-0.46540868127224183,-0.43306175433017974
198,-0.5529314508564086,-0.49543192340481795
199,-0.49531373247171284,-0.45530874145999717
200,-0.4724537315555875,-0.4384399017946113
201,-0.4457919796073017,-0.42339314320390004
202,-0.4804372334973702,-0.4451421234609019
203,-0.4555671065133424,-0.4282119261103604
204,-0.4932631895931922,-0.4542818570420404
205,-0.5103286641350281,-0.46781623142811923
206,-0.515842769626002,-0.46799377501109046
207,-0.5057044203219474,-0.46452956226642544
208,-0.5848952364382094,-0.5191786754902088
209,-0.5078803248231889,-0.4652079794533735
210,-0.4627509798110252,-0.4386422770007678
211,-0.45381472136708606,-0.42712974645140606
212,-0.4903187484367017,-0.4521717662453467
213,-0.5598793936244284,-0.49755759564260454
214,-0.5452955273230973,-0.4846388415124536
215,-0.49247084536336655,-0.4552802108592685
216,-0.4847688732565811,-0.45236804559145016
217,-0.5321768134370785,-0.48185268582296187
218,-0.5943888168437288,-0.5265419266213152
219,-0.5128578164087788,-0.4649782959197614
220,-0.5120689956261094,-0.4700324035683708
221,-0.5109449562775463,-0.4672777561867406
222,-0.48633448958618447,-0.45074969710993346
223,-0.513333077608924,-0.4721107685593564
224,-0.4794165075803106,-0.44392951410342096
225,-0.4389675544679035,-0.4220439327215513
226,-0.4751679693431886,-0.44327037006861303
227,-0.5008710819338579,-0.4615659652817864
228,-0.5033043108660412,-0.46355630092388256
229,-0.5010359761919969,-0.46162932833481024
230,-0.5208542250372853,-0.4723386114268287
231,-0.43929506212056235,-0.4172066901533334
232,-0.5718151788216557,-0.5081097349308691
233,-0.5558698515165249,-0.4993390849357998
234,-0.48050029400974836,-0.44283949333019296
235,-0.514927339737489,-0.46953359265355427
236,-0.5062045021036803,-0.46405426511710446
237,-0.45991776493876496,-0.4335738671575841
238,-0.4743821996346192,-0.4364583558782908
239,-0.5519791977029433,-0.49637625476284736
240,-0.4975569839053422,-0.46184113676530775
241,-0.4722072954607677,-0.44274076258869044
242,-0.48581579544248216,-0.4498038019052165
243,-0.4963290543972691,-0.4577461912631068
244,-0.5097079505858749,-0.4681608505470916
245,-0.5009410472917607,-0.4631157889430166
246,-0.4756165347877172,-0.4416263239242503
247,-0.4595695237932447,-0.4318041809792398
248,-0.5056815721544129,-0.46251060173258296
249,-0.5293110142062051,-0.4788385502141003
250,-0.4371417796521727,-0.41805605606626584
251,-0.4762271849699397,-0.44495342512324243
252,-0.4711938226541408,-0.43984445303367636
253,-0.47214813759857455,-0.4416126347333139
254,-0.5668016724801926,-0.5083084463568569
255,-0.5048197066639748,-0.46112876233394917
256,-0.48476081723150255,-0.4518935118546886
257,-0.48266968504232194,-0.45031923540796187
258,-0.5408983146910565,-0.48714094253243634
259,-0.5288676058357665,-0.47767268230340576
260,-0.4911909897712263,-0.4491446804779653
261,-0.5088072619009099,-0.4665677768390103
