,calibrated hard classifier,h_infinity: ideal classifier
0,6.316355844496309,9
1,7.727902238329771,9
2,6.822550600573403,9
3,7.039264044818144,9
4,8.130200087538748,9
5,7.72091623148969,9
6,7.484027122008318,9
7,7.682939567852567,9
8,7.595053359634089,9
9,7.415920801323068,9
10,7.816188378810708,9
11,8.413245375463129,9
12,7.3985433967117435,9
13,6.8102026469896515,9
14,8.445200027374234,9
15,7.383778683004811,9
16,6.536344948695065,9
17,7.232036647759096,9
18,8.322081121367262,9
19,7.956530219021055,9
20,7.250920883448209,9
21,7.9477035363798425,9
22,8.323586151712446,9
23,6.575201575897849,9
24,8.521511712723182,9
25,7.808291592740182,9
26,8.261856204370039,9
27,7.888353887372007,9
28,7.158813654603302,9
29,7.616443881599269,9
30,7.409934486523304,9
31,7.427988805656069,9
32,7.168586485326721,9
33,7.7645292825984775,9
34,7.401456863816361,9
35,7.811667398334644,9
36,7.011486982102867,9
37,7.381319652955378,9
38,7.322856706569408,9
39,7.598612793124636,9
40,7.158130178545583,9
41,8.311572572313286,9
42,6.970309293563331,9
43,7.103837799221652,9
44,7.558136611574094,9
45,7.938654306005018,9
46,7.6748940635188045,9
47,7.573569975824587,9
48,8.01484221443143,9
49,6.931414637842813,9
50,6.422068427058559,9
51,6.933229112457542,9
52,7.85821591042921,9
53,6.8061747384733,9
54,7.63763389566187,9
55,8.125392469017546,9
56,6.846500645190729,9
57,6.790654273545839,9
58,7.632090854781962,9
59,7.319270614761097,9
60,7.844008409120078,9
61,7.865480984085067,9
62,8.12891494138892,9
63,5.704535542229864,9
64,6.468683104596343,9
65,6.749096466621142,9
66,7.122735434507866,9
67,7.788478305404464,9
68,7.618794696914319,9
69,7.280087098273646,9
70,7.124497346564917,9
71,6.495828200765713,9
72,7.9349899885505355,9
73,6.0408800985161655,9
74,8.356757682693988,9
75,6.467352744718045,9
76,7.473666009257767,9
77,6.824858834747432,9
78,8.040329547114608,9
79,7.384450550497622,9
80,7.399747537499659,9
81,7.003524450559581,9
82,7.802441701491282,9
83,6.136775178051943,9
84,7.176128103566413,9
85,8.439599083911462,9
86,6.9514467906419855,9
87,7.527108193957954,9
88,7.46684754058383,9
89,5.818703835632629,9
90,7.373224683476901,9
91,9.0,9
92,5.57053656145787,9
93,7.430970970851383,9
94,7.767677394112273,9
95,6.644179102450126,9
96,6.685836576614613,9
97,8.07246497689867,9
98,6.844245874270036,9
99,6.765690458967383,9
100,7.010149398708612,9
101,7.893487917979537,9
102,6.533517706930002,9
103,6.9027903057422835,9
104,7.3089429961234424,9
105,7.237455630172817,9
106,8.086652688552302,9
107,7.412924896513115,9
108,7.507731604389721,9
109,7.310014302804704,9
110,7.876709928801577,9
111,7.300229692910822,9
112,7.400326203128075,9
113,8.010493851134326,9
114,8.220105931014484,9
115,8.017230746851101,9
116,8.63903226997389,9
117,6.3972776074735,9
118,7.168327603792192,9
119,6.685222635241699,9
120,8.125627944497511,9
121,7.728911958603606,9
122,6.484445975017552,9
123,7.776303942294742,9
124,7.791231488447834,9
125,7.710061231413681,9
126,6.804081411141997,9
127,7.857600686100144,9
128,8.143244312377444,9
129,8.563418098534616,9
130,6.89455162711397,9
131,6.737432416408468,9
132,8.094012099313055,9
133,6.532369692372297,9
134,6.400395102090678,9
135,6.585046043244786,9
136,7.728618804302365,9
137,7.139588279155479,9
138,7.347537572398259,9
139,7.408663024317348,9
140,6.965024524938883,9
141,6.900797496048077,9
142,7.679767188705555,9
143,6.865847465721462,9
144,7.6961434800127115,9
145,7.1797246666718015,9
146,7.298683497691446,9
147,7.958488510452715,9
148,6.493755394948299,9
149,8.699110544910472,9
150,6.379904187676226,9
151,7.9642561165849335,9
152,6.441736047971011,9
153,7.222057623289767,9
154,8.200894192774642,9
155,8.00420269933166,9
156,6.618611742857182,9
157,7.718759860240801,9
158,6.675302251311188,9
159,8.030234237941118,9
160,7.282889158133801,9
161,6.193757537767168,9
162,7.358271625397968,9
163,6.915435756338065,9
164,7.122161753108434,9
165,7.75468509886271,9
166,7.31376527463622,9
167,7.479238136844398,9
168,6.376806189960122,9
169,7.399574385009411,9
170,7.92619713742172,9
171,7.7935839503377675,9
172,5.999802822485444,9
