,0_uncalibrated,0_calibrated
0,-0.5467040233714909,-0.48964954173082414
1,-0.5661169204032779,-0.4986049087814773
2,-0.5470138226272906,-0.4914667347834686
3,-0.5730757723872575,-0.5030114022025214
4,-0.601863252064097,-0.5267110515045635
5,-0.5104343862848899,-0.47207424321849434
6,-0.47699900373531645,-0.44154015686573334
7,-0.5096326923675766,-0.4604178525213882
8,-0.6491666376588094,-0.5569901017446025
9,-0.5319047532620806,-0.4812372118357282
10,-0.6018400825027983,-0.5241796684240426
11,-0.4464731176202602,-0.4236633492974691
12,-0.436678767803712,-0.4131198268790105
13,-0.7389102885294435,-0.6212251860331062
14,-0.5750091627920403,-0.5060083843492226
15,-0.6788650599733245,-0.5801316093271136
16,-0.5578525214176826,-0.49394940892524475
17,-0.5515737682583659,-0.4910670080121643
18,-0.6149667842837314,-0.5340887218586559
19,-0.5451695143247586,-0.48701175100256133
20,-0.4094418093059422,-0.3983679897453743
21,-0.4971798520394623,-0.4547686970201944
22,-0.48046047482064225,-0.44825708655081203
23,-0.5226138167076859,-0.4722372390956812
24,-0.6962235881545346,-0.5886158595345619
25,-0.6950771977965794,-0.5925677212078412
26,-0.6504989541606617,-0.5596608922003904
27,-0.4540865180751105,-0.4293207809341099
28,-0.6215853778206664,-0.5406828584870296
29,-0.6424941827651631,-0.5558296273118342
30,-0.4625838041989408,-0.43340316285698155
31,-0.5277179876706097,-0.474115674825905
32,-0.5405020421695509,-0.4875988115786565
33,-0.4914776192822208,-0.4525239542578186
34,-0.4703160319404022,-0.439021591768873
35,-0.6792338921510542,-0.5778514532209649
36,-0.5933768905380946,-0.5206365568201554
37,-0.5105155623184634,-0.4662998222439657
38,-0.5421389084052564,-0.48702699085164797
39,-0.513472636879964,-0.4671416370897135
40,-0.6819568038089195,-0.5834752035328515
41,-0.5613952566529326,-0.501334856123525
42,-0.7429874178118456,-0.6243924191130741
43,-0.6050180966093237,-0.5238743881354982
44,-0.8049985802804219,-0.6630193677441989
45,-0.7148094647995226,-0.6087994046796842
46,-0.44572221230223136,-0.42021416908442305
47,-0.4734791006258819,-0.44374233828127607
48,-0.46815118664558797,-0.4364487115606178
49,-0.5901495854566036,-0.5221604445037819
50,-0.5870798571648473,-0.5178800846056745
51,-0.5691207253531544,-0.5060441154895221
52,-0.5340644265051859,-0.4779423818110982
53,-0.44012240976209127,-0.4168154400380176
54,-0.695064768182432,-0.5927113365298446
55,-0.7090626153814363,-0.6017143718788452
56,-0.526393203148567,-0.47867418503436765
57,-0.4889822183302327,-0.45098489587489143
58,-0.45497730343752507,-0.42728317852934167
59,-0.5748743698009874,-0.5073288007558959
60,-0.797874605998238,-0.657820630141998
61,-0.47218039147787577,-0.43720588740718613
62,-0.4506314432912224,-0.42445009721820187
63,-0.49300204627599825,-0.45300098576532166
64,-0.8020943495043055,-0.6638434789755047
65,-0.5932893545829603,-0.519342924702687
66,-0.4464763861598543,-0.4213719183808079
67,-0.5060932962372691,-0.4603762351642338
68,-0.621202258200835,-0.5390715264374367
69,-0.4665720969506206,-0.4319629392036338
