,mock hard classifier
0,4.313326656766923
1,4.07070723403937
2,2.861981343408336
3,4.421962275682932
4,2.9531846821847245
5,4.144376568124785
6,4.387138029457355
7,4.1001402098754065
8,4.212178488477653
9,4.455151888877854
10,4.179553984494375
11,4.428966937421351
12,4.820728572766977
13,4.146245604886481
14,4.3410030518514136
15,4.103386786202332
16,4.807926134356659
17,4.308662206848564
18,4.561152439793226
19,4.060313978991111
20,4.543018605706505
21,4.69970978073606
22,4.5875471561456935
23,4.383206128056405
24,4.0219895345848125
25,4.616342925839264
26,4.39380595828406
27,4.600799905228326
28,4.554631031871686
29,2.9946945487263834
30,3.4702702702707198
31,4.449974692501616
32,2.9927217306107257
33,4.26181552113575
34,4.2435446189788255
35,4.359299953944338
36,4.551367975876799
37,4.472296214773726
38,4.585797472690318
39,4.197095525163171
40,4.41261736282792
41,4.831026609504603
42,4.308987105030018
43,4.389291843124672
44,4.503678559623867
45,4.795227664725475
46,4.009384148317861
47,4.068605199883153
48,4.566096986533017
49,4.350841269801412
50,4.6096497749020156
51,4.120224963540112
52,4.007001135933351
53,4.303910042737991
54,4.361567766070632
55,4.383404875116569
56,2.965162840363062
57,4.201457601042617
58,4.424902198304115
59,2.9506610158770354
60,4.4346205507051755
61,4.316226546579505
62,4.664155197653605
63,4.3445571562526695
64,4.52763575395522
65,4.2377307513331655
66,4.652550470921131
67,4.3618766004553935
68,4.421919423063576
69,4.657618421035963
70,4.525772280167228
71,4.370694799632102
72,4.218237548659049
73,4.439765173382946
74,4.33697877068834
75,4.470376554433172
76,4.228051368629364
77,4.394129196098932
78,4.362366486734813
79,4.027827212425183
80,4.487132680194764
81,2.9509043147438114
82,2.88429830831547
83,2.8434224598930506
84,2.991576582900476
85,4.792981609558506
86,2.944324557617613
87,4.407746562099086
88,4.596887268648342
89,4.125276397242915
90,4.259248593268914
91,4.200098680955529
92,4.006482755759046
93,4.384388219331139
94,4.3102381721182015
95,4.352498150583338
96,4.050089714843244
97,4.510044834880112
98,2.9859042336242827
99,4.306310637182061
100,4.176041835446087
101,4.090274270695898
102,4.680730181334099
103,4.934109746227847
104,2.7480246779954527
105,4.594380775527706
106,4.6042040269675155
107,4.381184360693989
108,4.125411107663658
109,2.8694386173643505
110,4.228323688239256
111,4.238636908471973
112,2.9775429326288023
113,4.276087243745187
114,2.92048655569784
115,4.401882947892962
116,4.296145886646348
117,4.149922270122611
118,4.646304061612929
119,2.924449296385472
120,4.192005057163288
121,4.184566393796101
122,2.9148099606815228
123,4.399670843747668
124,4.220789179798991
125,4.577595558675256
126,4.176450682007735
127,4.405063169340013
128,4.621555100655156
129,4.072597779728726
130,4.335763083097676
131,4.649018616699114
132,4.7252671247336355
133,4.432384367843176
134,4.116264838623587
135,4.891500888620919
136,4.26964691542051
137,4.273204717633115
138,4.113057949692662
139,4.074100323426662
140,4.344446512697054
141,4.2775308577948365
142,4.115021431564013
143,4.757179449964484
144,4.226686621712902
145,4.097460998722071
146,4.349162056348931
147,3.7783553875240936
148,4.618834989362044
149,4.651760362203578
150,2.983346924760717
151,4.69188313383921
152,4.355520867433717
153,4.231554009805713
154,4.008764409364158
155,4.2027822070709835
156,4.376912867943531
157,4.444883676943453
158,4.299903397178285
159,4.288364897633439
160,4.425347839859662
161,4.47607373957065
162,4.283051606335294
163,4.543926075628831
164,4.235929840763998
165,6.132510184563152
166,4.2518977777371845
167,4.602308902850688
168,4.540056607013547
